epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,219.264,4.59591,6.47452,1.83456,0,0,0,0,4.14993,5.27514,1.35812,0.00326531,0.00326531,0.0706122
2,434.078,4.23858,4.54312,1.30299,0.00236,0.02715,0.00185,0.00063,4.18382,4.46573,1.20517,0.00646799,0.00646799,0.0404816
3,646.891,4.24212,4.01422,1.18547,0.67106,0.00514,0.00101,0.00031,4.60109,4.60836,1.37579,0.00953867,0.00953867,0.0102189
4,872.644,4.23518,3.94378,1.13267,0.00323,0.00773,0.0008,0.00021,4.54922,16.0027,1.17243,0.009406,0.009406,0.009406
5,1089.29,4.22725,3.77957,1.10842,0.35755,0.02174,0.01212,0.00343,4.5531,4.67215,1.11587,0.009208,0.009208,0.009208
6,1305.88,4.14595,3.62459,1.08655,0.68455,0.02174,0.00656,0.00203,4.06932,3.75159,1.1246,0.00901,0.00901,0.00901
7,1531.36,4.10657,3.57154,1.08225,0.20784,0.0622,0.01294,0.00423,4.13854,5.74322,1.06613,0.008812,0.008812,0.008812
8,1748.48,4.09974,3.51608,1.05008,0.20317,0.0628,0.01442,0.00376,3.9879,3.52967,1.06788,0.008614,0.008614,0.008614
9,1964.71,4.09762,3.45363,1.0456,0.52439,0.04348,0.01581,0.0058,3.94517,3.71719,1.05146,0.008416,0.008416,0.008416
10,2183.76,4.08038,3.36474,1.03144,0.55325,0.04348,0.02447,0.00897,4.07029,3.9086,1.06399,0.008218,0.008218,0.008218
11,2400.08,4.00398,3.31649,1.04778,0.22294,0.04469,0.03102,0.00909,3.96049,3.69786,1.0822,0.00802,0.00802,0.00802
12,2617.54,4.02135,3.32104,1.026,0.05269,0.06105,0.02592,0.00736,3.92101,3.51099,1.04926,0.007822,0.007822,0.007822
13,2834.54,4.04773,3.23603,1.00651,0.07976,0.05727,0.04285,0.01515,3.89739,3.32833,1.03364,0.007624,0.007624,0.007624
14,3049.96,3.94153,3.18926,1.02944,0.04442,0.03654,0.01501,0.00484,4.01804,3.38209,1.00709,0.007426,0.007426,0.007426
15,3265.21,3.95781,3.18966,1.01364,0.54801,0.05077,0.03459,0.00917,3.85021,3.30197,1.00979,0.007228,0.007228,0.007228
16,3480.1,3.95575,3.1378,1.02078,0.12697,0.07678,0.04586,0.01166,3.90213,3.28554,0.9972,0.00703,0.00703,0.00703
17,3695.52,3.94795,3.09702,1.00282,0.11884,0.07591,0.03027,0.00948,3.8131,3.29585,1.02081,0.006832,0.006832,0.006832
18,3910.58,3.83362,3.00241,1.02022,0.09836,0.09602,0.04113,0.01248,3.88882,3.31854,1.01528,0.006634,0.006634,0.006634
19,4127.21,3.90456,3.05891,1.00583,0.10852,0.06624,0.03499,0.00829,4.02114,3.51032,0.99683,0.006436,0.006436,0.006436
20,4340.94,3.89159,3.05076,1.00886,0.07655,0.08411,0.04079,0.01184,3.82604,3.22265,1.03058,0.006238,0.006238,0.006238
21,4553.39,3.89079,2.98694,1.00079,0.0832,0.07221,0.04542,0.00994,3.79664,3.18684,1.03673,0.00604,0.00604,0.00604
22,4767.9,3.87668,2.98348,0.99872,0.09101,0.08798,0.03504,0.00778,3.94443,3.44058,1.00848,0.005842,0.005842,0.005842
23,4985,3.90678,2.98262,0.99036,0.24119,0.06357,0.0318,0.00929,3.96199,3.50215,1.05685,0.005644,0.005644,0.005644
