epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,448.706,4.57233,5.25606,1.32934,0,0,0,0,0,8.04286e+06,0,0.00326531,0.00326531,0.0706122
2,893.927,4.42817,3.89048,1.17629,0,0,0,0,0,124019,0,0.00646799,0.00646799,0.0404816
3,1341.24,4.37127,3.83472,1.13799,0.16704,0.00028,0.00014,3e-05,2.86545,25585.6,20.5498,0.00953867,0.00953867,0.0102189
4,1794.7,4.43337,3.86935,1.14813,0.00051,0.00085,0.00034,0.00011,4.64303,8.00304,3.10446,0.009406,0.009406,0.009406
5,2242.54,4.38968,3.82895,1.13018,0.3425,0.0075,0.00222,0.00072,4.31522,4.53913,1.3725,0.009208,0.009208,0.009208
6,2695.32,4.32082,3.76433,1.10792,0.00552,0.04883,0.00415,0.00101,4.45649,5.27313,1.22157,0.00901,0.00901,0.00901
7,3157.05,4.31664,3.73186,1.11841,0.0052,0.05279,0.00341,0.00081,4.36433,7.1381,1.13085,0.008812,0.008812,0.008812
8,3607.19,4.23757,3.66075,1.08556,0.06417,0.02187,0.01393,0.00346,4.05954,3.66467,1.12924,0.008614,0.008614,0.008614
9,4054.27,4.25393,3.65977,1.07909,0.00583,0.0474,0.00546,0.00141,4.45271,3.91391,1.12448,0.008416,0.008416,0.008416
10,4502.69,4.21771,3.58945,1.07034,0.00284,0.01054,0.00236,0.00101,4.69221,4.47165,1.08968,0.008218,0.008218,0.008218
11,4952.07,4.1414,3.54432,1.08074,0.34463,0.01066,0.00351,0.00091,4.43295,4.51475,1.17175,0.00802,0.00802,0.00802
12,5414.3,4.17799,3.58271,1.05782,0.07291,0.05536,0.01647,0.00242,4.09931,8.586,1.12483,0.007822,0.007822,0.007822
13,5881.37,4.20764,3.52315,1.03925,0.03525,0.03839,0.01919,0.00395,4.24492,6.48838,1.1064,0.007624,0.007624,0.007624
14,6332.07,4.15275,3.48349,1.07227,0.006,0.03213,0.0051,0.00188,4.61136,4.08997,1.10148,0.007426,0.007426,0.007426
15,6783.16,4.14949,3.49302,1.05157,0.26523,0.01454,0.00512,0.0015,4.20411,3.92607,1.06559,0.007228,0.007228,0.007228
16,7237.03,4.14543,3.48933,1.05678,0.03964,0.06864,0.025,0.00437,4.09633,3.76255,1.08211,0.00703,0.00703,0.00703
17,7691.92,4.10113,3.44206,1.04507,0.03013,0.07011,0.01716,0.00299,4.46133,4.35057,1.1595,0.006832,0.006832,0.006832
18,8143.57,4.05696,3.39761,1.06386,0.03934,0.01878,0.01323,0.00303,3.95015,3.38727,1.08083,0.006634,0.006634,0.006634
19,8608.74,4.11267,3.45436,1.06188,0.19732,0.02681,0.00939,0.00629,4.33547,7.74926,1.09725,0.006436,0.006436,0.006436
20,9065.32,4.09616,3.42307,1.04635,0.04672,0.02382,0.02606,0.00913,4.42696,5.00254,1.07134,0.006238,0.006238,0.006238
21,9515.59,4.08347,3.35365,1.04509,0.02593,0.03238,0.01575,0.00418,4.26795,4.07455,1.05372,0.00604,0.00604,0.00604
